ds,y
13/08/2002,26.04583333
14/08/2002,21.79166667
15/08/2002,19.94166667
16/08/2002,20.50833333
17/08/2002,20.11666667
18/08/2002,20.01666667
19/08/2002,19.575
20/08/2002,19.875
21/08/2002,20.57083333
22/08/2002,19.8
23/08/2002,20.04166667
24/08/2002,21.32916667
25/08/2002,21.1625
26/08/2002,19.72916667
27/08/2002,20.9625
28/08/2002,23.06666667
29/08/2002,24.71666667
30/08/2002,22.39166667
31/08/2002,21.56666667
1/9/2002,25.46666667
2/9/2002,21.57916667
3/9/2002,18.225
4/9/2002,18.05833333
5/9/2002,18.30833333
6/9/2002,17.63333333
7/9/2002,17.81666667
8/9/2002,16.36666667
9/9/2002,17.075
10/9/2002,17.70833333
11/9/2002,18.94166667
12/9/2002,19.575
13/09/2002,19.81666667
14/09/2002,19.04166667
15/09/2002,20.5
16/09/2002,19.57916667
17/09/2002,19.42916667
18/09/2002,19.075
19/09/2002,19.92916667
20/09/2002,19.59583333
21/09/2002,17.90416667
22/09/2002,17.55833333
23/09/2002,17.85
24/09/2002,18.24583333
25/09/2002,17.9125
26/09/2002,19.24166667
27/09/2002,20.06666667
28/09/2002,19.95416667
29/09/2002,19.725
30/09/2002,18.92916667
1/10/2002,19.2125
2/10/2002,19.4625
3/10/2002,19.875
4/10/2002,21.14583333
5/10/2002,21.25
6/10/2002,20.14166667
7/10/2002,18.25833333
8/10/2002,17.4375
9/10/2002,14.01666667
10/10/2002,13.7375
11/10/2002,14.67083333
12/10/2002,18.1125
13/10/2002,18.01666667
14/10/2002,18.47916667
15/10/2002,16.9625
16/10/2002,15.71666667
17/10/2002,14.04166667
18/10/2002,14.57916667
19/10/2002,18.71666667
20/10/2002,19.08333333
21/10/2002,16.46666667
22/10/2002,16.3375
23/10/2002,15.55
24/10/2002,16.24166667
25/10/2002,17.75
26/10/2002,16.80833333
27/10/2002,17.0625
28/10/2002,19.1125
29/10/2002,17.86666667
30/10/2002,16.08333333
31/10/2002,15.36666667
1/11/2002,17.7
2/11/2002,18.08333333
3/11/2002,16.53333333
4/11/2002,13.79583333
5/11/2002,14.99583333
6/11/2002,15.65833333
7/11/2002,12.59166667
8/11/2002,11.075
9/11/2002,13.50833333
10/11/2002,14.27916667
11/11/2002,14.9875
12/11/2002,13.14166667
13/11/2002,13.34166667
14/11/2002,11.04166667
15/11/2002,10.42083333
16/11/2002,10.9875
17/11/2002,12.19166667
18/11/2002,13.01666667
19/11/2002,11.68333333
20/11/2002,10.68333333
21/11/2002,12.88333333
22/11/2002,12.52083333
23/11/2002,10.67916667
24/11/2002,9.179166667
25/11/2002,9.4
26/11/2002,12.18333333
27/11/2002,14.925
28/11/2002,13.15416667
29/11/2002,13.4875
30/11/2002,13.25416667
1/12/2002,13.34166667
2/12/2002,11.89166667
3/12/2002,11.05416667
4/12/2002,13.1125
5/12/2002,10.225
6/12/2002,8.645833333
7/12/2002,8.341666667
8/12/2002,7.9875
9/12/2002,9.541666667
10/12/2002,10.7875
11/12/2002,9.1875
12/12/2002,9.066666667
13/12/2002,10.97083333
14/12/2002,12.70833333
15/12/2002,11.10833333
16/12/2002,12.32083333
17/12/2002,16.00833333
18/12/2002,15.8
19/12/2002,14.42083333
20/12/2002,13.2125
21/12/2002,13.5875
22/12/2002,13.20833333
23/12/2002,14.30416667
24/12/2002,14.5625
25/12/2002,15.34583333
26/12/2002,15.44166667
27/12/2002,12.30416667
28/12/2002,11.15
29/12/2002,10.79583333
30/12/2002,12.74583333
31/12/2002,12.15833333
1/1/2003,15.03333333
2/1/2003,14.67083333
3/1/2003,13.39583333
4/1/2003,11.89583333
5/1/2003,10.725
6/1/2003,9.133333333
7/1/2003,11.41666667
8/1/2003,8.975
9/1/2003,7.995833333
10/1/2003,4.620833333
11/1/2003,4.916666667
12/1/2003,4.525
13/01/2003,4.070833333
14/01/2003,4.283333333
15/01/2003,4.470833333
16/01/2003,5.108333333
17/01/2003,6.229166667
18/01/2003,11.3875
19/01/2003,10.8875
20/01/2003,11.5875
21/01/2003,11.49583333
22/01/2003,10.98333333
23/01/2003,7.8625
24/01/2003,8.366666667
25/01/2003,9.554166667
26/01/2003,10.5875
27/01/2003,12.51666667
28/01/2003,12.24166667
29/01/2003,9.0375
30/01/2003,8.6875
31/01/2003,7.645833333
1/2/2003,5.604166667
2/2/2003,8.875
3/2/2003,10.34583333
4/2/2003,11.70416667
5/2/2003,10.0625
6/2/2003,9.541666667
7/2/2003,9.55
8/2/2003,9.179166667
9/2/2003,8.933333333
10/2/2003,10.03333333
11/2/2003,12.02916667
12/2/2003,11.44583333
13/02/2003,9.041666667
14/02/2003,8.9625
15/02/2003,7.670833333
16/02/2003,6.954166667
17/02/2003,6.725
18/02/2003,10.58333333
19/02/2003,7.641666667
20/02/2003,9.579166667
21/02/2003,10.675
22/02/2003,12.25416667
23/02/2003,12.2125
24/02/2003,11.97916667
25/02/2003,9.475
26/02/2003,9.154166667
27/02/2003,11.3
28/02/2003,12.82916667
1/3/2003,12.53333333
2/3/2003,11.92916667
3/3/2003,13.31666667
4/3/2003,11.63333333
5/3/2003,10.59583333
6/3/2003,9.445833333
7/3/2003,10.40833333
8/3/2003,11.325
9/3/2003,12.25
10/3/2003,14.21666667
11/3/2003,14.84583333
12/3/2003,16.125
13/03/2003,16.57916667
14/03/2003,13.175
15/03/2003,12.64166667
16/03/2003,14.875
17/03/2003,13.77083333
18/03/2003,13.5375
19/03/2003,12.49583333
20/03/2003,13.5125
21/03/2003,14.39583333
22/03/2003,14.00416667
23/03/2003,14.67916667
24/03/2003,14.99583333
25/03/2003,13.4
26/03/2003,13.8125
27/03/2003,14.02083333
28/03/2003,13.37083333
29/03/2003,13.6625
30/03/2003,13.51666667
31/03/2003,13.26666667
1/4/2003,15.80833333
2/4/2003,13.81666667
3/4/2003,14.225
4/4/2003,13.32083333
5/4/2003,13.55
6/4/2003,15.44166667
7/4/2003,16.39166667
8/4/2003,15.03333333
9/4/2003,12.67083333
10/4/2003,11.52083333
11/4/2003,11.53333333
12/4/2003,14.6875
13/04/2003,14.58333333
14/04/2003,13.575
15/04/2003,13.77083333
16/04/2003,14.075
17/04/2003,15.19583333
