ds	yhat
2022-10-18	17.16
2022-10-19	16.98
2022-10-20	16.85
2022-10-21	16.81
2022-10-22	16.66
2022-10-23	16.45
2022-10-24	16.28
2022-10-25	16.23
2022-10-26	16.16
2022-10-27	16.08
2022-10-28	15.98
2022-10-29	15.87
2022-10-30	15.51
2022-10-31	15.15
2022-11-01	15.11
2022-11-02	15.05
2022-11-03	14.88
2022-11-04	14.55
2022-11-05	14.53
2022-11-06	14.44
2022-11-07	14.07
2022-11-08	14.08
2022-11-09	14.05
2022-11-10	13.80
2022-11-11	13.47
2022-11-12	13.20
2022-11-13	12.99
2022-11-14	12.90
2022-11-15	12.85
2022-11-16	12.63
2022-11-17	12.51
2022-11-18	12.28
2022-11-19	12.16
2022-11-20	12.07
2022-11-21	11.97
2022-11-22	12.02
2022-11-23	11.70
2022-11-24	11.46
2022-11-25	11.30
2022-11-26	11.26
2022-11-27	11.14
2022-11-28	10.87
2022-11-29	11.07
2022-11-30	11.09
2022-12-01	10.90
2022-12-02	10.86
2022-12-03	10.91
2022-12-04	10.77
2022-12-05	10.56
2022-12-06	10.57
2022-12-07	10.53
2022-12-08	10.67
2022-12-09	10.60
2022-12-10	10.50
2022-12-11	10.52
2022-12-12	10.43
2022-12-13	10.61
2022-12-14	10.69
2022-12-15	10.81
2022-12-16	10.83
2022-12-17	10.61
2022-12-18	10.47
2022-12-19	10.42
2022-12-20	10.62
2022-12-21	10.60
2022-12-22	10.48
2022-12-23	10.58
2022-12-24	10.61
2022-12-25	10.43
2022-12-26	10.39
